ID2,x,y
spot_1,1,1
spot_2,2,1
spot_3,3,1
spot_4,4,1
spot_5,5,1
spot_6,6,1
spot_7,7,1
spot_8,8,1
spot_9,9,1
spot_10,10,1
spot_11,11,1
spot_12,1,2
spot_13,2,2
spot_14,3,2
spot_15,4,2
spot_16,5,2
spot_17,6,2
spot_18,7,2
spot_19,8,2
spot_20,9,2
spot_21,10,2
spot_22,11,2
spot_23,1,3
spot_24,2,3
spot_25,3,3
spot_26,4,3
spot_27,5,3
spot_29,7,3
spot_30,8,3
spot_32,10,3
spot_33,11,3
spot_34,1,4
spot_35,2,4
spot_36,3,4
spot_37,4,4
spot_38,5,4
spot_39,6,4
spot_40,7,4
spot_41,8,4
spot_42,9,4
spot_43,10,4
spot_44,11,4
spot_45,1,5
spot_46,2,5
spot_47,3,5
spot_48,4,5
spot_49,5,5
spot_50,6,5
spot_51,7,5
spot_52,8,5
spot_53,9,5
spot_54,10,5
spot_55,11,5
spot_56,1,6
spot_57,2,6
spot_58,3,6
spot_59,4,6
spot_60,5,6
spot_61,6,6
spot_62,7,6
spot_63,8,6
spot_64,9,6
spot_65,10,6
spot_66,11,6
spot_67,1,7
spot_68,2,7
spot_69,3,7
spot_70,4,7
spot_71,5,7
spot_72,6,7
spot_73,7,7
spot_74,8,7
spot_75,9,7
spot_76,10,7
spot_77,11,7
spot_78,1,8
spot_79,2,8
spot_80,3,8
spot_81,4,8
spot_82,5,8
spot_83,6,8
spot_84,7,8
spot_85,8,8
spot_86,9,8
spot_87,10,8
spot_88,11,8
spot_89,1,9
spot_90,2,9
spot_91,3,9
spot_92,4,9
spot_93,5,9
spot_94,6,9
spot_95,7,9
spot_96,8,9
spot_97,9,9
spot_98,10,9
spot_99,11,9
spot_100,1,10
spot_101,2,10
spot_102,3,10
spot_103,4,10
spot_104,5,10
spot_105,6,10
spot_106,7,10
spot_107,8,10
spot_108,9,10
spot_109,10,10
spot_110,11,10
